idx	label	predict	radius	pABar	correct	time
0	3	3	0.591	0.881	1	0:00:05.700956
20	7	7	0.42	0.799	1	0:00:04.722611
40	4	4	0.396	0.786	1	0:00:04.929552
60	7	7	1.2	0.992	1	0:00:04.916871
80	8	8	1.34	0.996	1	0:00:04.828022
100	4	-1	-0.0648	0.448	0	0:00:04.931383
120	8	8	0.416	0.797	1	0:00:04.973281
140	6	6	0.395	0.785	1	0:00:04.930539
160	2	2	0.369	0.77	1	0:00:04.933148
180	0	0	1.07	0.984	1	0:00:04.934567
200	5	5	0.368	0.769	1	0:00:04.932069
220	7	7	1.37	0.997	1	0:00:04.935893
240	1	1	1.6	0.999	1	0:00:04.927689
260	8	-1	-0.184	0.356	0	0:00:04.933949
280	9	9	1.09	0.985	1	0:00:04.933618
300	6	6	0.688	0.916	1	0:00:04.941791
320	3	3	0.691	0.917	1	0:00:04.930360
340	2	4	0.248	0.69	0	0:00:04.934697
360	9	9	0.0381	0.53	1	0:00:04.937722
380	6	6	0.296	0.723	1	0:00:04.937993
400	9	9	1.24	0.993	1	0:00:04.940972
420	4	4	0.936	0.969	1	0:00:04.941353
440	1	1	0.483	0.833	1	0:00:04.938156
460	5	5	1.17	0.99	1	0:00:04.940057
480	8	9	0.568	0.872	0	0:00:04.939163
500	4	6	0.333	0.748	0	0:00:04.937438
520	5	5	0.308	0.731	1	0:00:04.935934
540	1	1	0.756	0.935	1	0:00:04.938122
560	0	0	1.49	0.999	1	0:00:04.933808
580	4	4	0.722	0.926	1	0:00:04.936689
600	8	8	1.2	0.992	1	0:00:04.934226
620	7	7	0.461	0.822	1	0:00:04.932677
640	5	3	1.03	0.98	0	0:00:04.933392
660	9	9	0.933	0.969	1	0:00:04.934277
680	9	9	0.0379	0.53	1	0:00:04.938094
700	7	7	0.813	0.948	1	0:00:04.937373
720	4	-1	-0.164	0.371	0	0:00:04.932836
740	2	3	0.18	0.64	0	0:00:04.940917
760	3	3	0.413	0.796	1	0:00:04.933893
780	9	9	0.425	0.802	1	0:00:04.935475
800	7	7	1.6	0.999	1	0:00:04.931654
820	6	-1	-0.0352	0.472	0	0:00:04.938686
840	7	7	1.6	0.999	1	0:00:04.928202
860	4	4	0.476	0.83	1	0:00:04.940084
880	8	8	1.49	0.999	1	0:00:04.932428
900	2	2	0.15	0.618	1	0:00:04.937230
920	6	6	0.31	0.733	1	0:00:04.936321
940	9	9	1.28	0.995	1	0:00:05.066687
960	9	9	1.09	0.985	1	0:00:05.084304
980	2	-1	-0.109	0.414	0	0:00:05.031246
1000	5	5	1.35	0.997	1	0:00:05.027698
1020	1	1	1.43	0.998	1	0:00:05.183861
1040	7	5	0.723	0.926	0	0:00:04.907881
1060	9	9	1.41	0.998	1	0:00:04.919986
1080	6	6	0.701	0.92	1	0:00:04.925045
1100	7	-1	-0.0374	0.47	0	0:00:04.913723
1120	5	-1	-0.00389	0.497	0	0:00:04.923649
1140	6	6	0.372	0.772	1	0:00:04.922004
1160	8	8	0.0218	0.517	1	0:00:04.916015
1180	3	3	1.19	0.991	1	0:00:04.917112
1200	8	8	0.404	0.791	1	0:00:04.920048
1220	9	-1	-0.171	0.366	0	0:00:04.919616
1240	2	6	0.901	0.964	0	0:00:04.926279
1260	1	9	0.465	0.824	0	0:00:04.923169
1280	3	3	0.155	0.622	1	0:00:05.029298
1300	4	3	0.721	0.925	0	0:00:04.956871
1320	7	2	0.0926	0.573	0	0:00:04.960095
1340	1	1	1.37	0.997	1	0:00:04.950667
1360	7	7	0.981	0.975	1	0:00:04.959409
1380	4	5	0.366	0.768	0	0:00:04.953080
1400	5	3	0.447	0.815	0	0:00:04.951557
1420	4	7	0.0173	0.514	0	0:00:04.961349
1440	0	0	0.117	0.593	1	0:00:04.967950
1460	6	6	0.898	0.964	1	0:00:04.964514
1480	1	1	0.31	0.732	1	0:00:05.076021
