idx	label	predict	radius	pABar	correct	time
0	3	3	0.826	0.951	1	0:00:05.626586
20	7	7	0.752	0.934	1	0:00:04.807664
40	4	4	0.363	0.766	1	0:00:04.822165
60	7	7	0.923	0.968	1	0:00:04.835294
80	8	8	1.43	0.998	1	0:00:04.838269
100	4	-1	-0.096	0.424	0	0:00:04.840145
120	8	8	0.35	0.758	1	0:00:04.839827
140	6	6	0.236	0.682	1	0:00:04.839571
160	2	2	0.928	0.968	1	0:00:04.935053
180	0	0	1.36	0.997	1	0:00:04.990175
200	5	5	0.499	0.841	1	0:00:04.924790
220	7	7	1.46	0.998	1	0:00:04.919823
240	1	1	1.6	0.999	1	0:00:04.917563
260	8	8	0.0692	0.555	1	0:00:04.928262
280	9	9	0.887	0.962	1	0:00:04.926610
300	6	6	0.774	0.939	1	0:00:04.926719
320	3	3	0.105	0.583	1	0:00:04.921990
340	2	4	0.591	0.881	0	0:00:04.921122
360	9	5	0.0541	0.543	0	0:00:04.925306
380	6	-1	-0.112	0.411	0	0:00:04.918651
400	9	9	1.28	0.995	1	0:00:04.923222
420	4	4	1.36	0.997	1	0:00:04.920958
440	1	1	0.715	0.924	1	0:00:04.920284
460	5	5	1.25	0.994	1	0:00:04.924524
480	8	9	0.692	0.917	0	0:00:04.915495
500	4	-1	-0.0523	0.458	0	0:00:04.921689
520	5	5	0.596	0.883	1	0:00:04.925807
540	1	1	0.545	0.862	1	0:00:04.917403
560	0	0	1.56	0.999	1	0:00:04.908650
580	4	4	1.25	0.994	1	0:00:04.918296
600	8	8	1.56	0.999	1	0:00:04.910935
620	7	7	0.25	0.692	1	0:00:04.915444
640	5	3	1.13	0.988	0	0:00:04.918731
660	9	9	1.32	0.996	1	0:00:04.917635
680	9	-1	-0.13	0.397	0	0:00:04.916387
700	7	7	0.734	0.929	1	0:00:04.916774
720	4	4	0.284	0.715	1	0:00:04.918112
740	2	3	0.175	0.637	0	0:00:04.918823
760	3	3	0.543	0.861	1	0:00:04.917718
780	9	9	0.972	0.974	1	0:00:04.914322
800	7	7	1.6	0.999	1	0:00:04.910884
820	6	-1	-0.217	0.332	0	0:00:04.916575
840	7	7	1.6	0.999	1	0:00:04.907753
860	4	4	0.869	0.959	1	0:00:04.914780
880	8	8	1.56	0.999	1	0:00:04.909627
900	2	-1	-0.0413	0.467	0	0:00:04.920289
920	6	-1	-0.116	0.408	0	0:00:04.914309
940	9	9	1.41	0.998	1	0:00:04.913927
960	9	9	1.41	0.998	1	0:00:04.914855
980	2	2	0.258	0.697	1	0:00:04.920938
1000	5	5	1.44	0.998	1	0:00:04.920148
1020	1	1	1.49	0.999	1	0:00:04.914577
1040	7	5	0.742	0.931	0	0:00:04.924354
1060	9	9	1.32	0.996	1	0:00:04.913925
1080	6	6	0.851	0.956	1	0:00:04.921485
1100	7	0	0.269	0.704	0	0:00:04.915568
1120	5	-1	-0.0371	0.47	0	0:00:04.912218
1140	6	6	0.231	0.678	1	0:00:04.896680
1160	8	0	0.295	0.723	0	0:00:04.973687
1180	3	3	0.685	0.915	1	0:00:05.263876
1200	8	8	0.409	0.793	1	0:00:05.029563
1220	9	3	0.117	0.593	0	0:00:05.012765
1240	2	6	0.552	0.865	0	0:00:05.015500
1260	1	9	0.286	0.716	0	0:00:05.016050
1280	3	3	0.104	0.582	1	0:00:05.017429
1300	4	-1	-0.0298	0.476	0	0:00:05.005565
1320	7	2	0.105	0.583	0	0:00:05.012703
1340	1	1	1.56	0.999	1	0:00:05.003348
1360	7	7	0.771	0.938	1	0:00:05.023452
1380	4	5	0.926	0.968	0	0:00:05.013681
1400	5	3	0.622	0.893	0	0:00:05.010458
1420	4	4	0.135	0.606	1	0:00:05.016648
1440	0	0	0.0734	0.558	1	0:00:05.008277
1460	6	6	0.464	0.823	1	0:00:05.054227
1480	1	1	0.121	0.596	1	0:00:05.048667
1500	1	1	0.785	0.942	1	0:00:05.140930
1520	7	7	0.224	0.673	1	0:00:05.076328
1540	8	8	1.6	0.999	1	0:00:05.073105
1560	7	7	1.6	0.999	1	0:00:05.096952
1580	6	-1	-0.0246	0.48	0	0:00:04.985951
1600	8	-1	-0.188	0.354	0	0:00:05.062642
1620	5	4	0.0685	0.555	0	0:00:04.861715
1640	7	3	0.622	0.893	0	0:00:04.880950
1660	3	3	0.448	0.815	1	0:00:04.880569
1680	6	6	0.784	0.942	1	0:00:04.881313
1700	5	5	0.251	0.692	1	0:00:04.878612
1720	4	4	0.13	0.603	1	0:00:04.880255
1740	1	1	0.701	0.92	1	0:00:04.881480
1760	0	0	0.337	0.75	1	0:00:04.878555
1780	7	7	1.05	0.982	1	0:00:04.878503
1800	4	-1	-0.0823	0.435	0	0:00:04.876554
1820	8	8	0.311	0.733	1	0:00:04.878712
1840	8	4	0.334	0.748	0	0:00:04.882252
1860	8	8	0.616	0.891	1	0:00:04.882721
1880	1	1	0.259	0.698	1	0:00:04.884930
1900	8	8	1.6	0.999	1	0:00:04.872497
1920	2	2	1.24	0.994	1	0:00:04.876224
1940	5	-1	-0.128	0.399	0	0:00:04.864231
1960	2	5	0.617	0.892	0	0:00:04.861102
1980	9	9	1.6	0.999	1	0:00:05.114082
2000	1	6	0.134	0.605	0	0:00:05.194314
2020	9	9	1.56	0.999	1	0:00:04.895135
2040	0	0	1.31	0.996	1	0:00:04.901843
2060	5	3	0.459	0.821	0	0:00:04.900454
2080	1	-1	-0.0162	0.487	0	0:00:04.904828
2100	2	2	1.09	0.986	1	0:00:04.907171
2120	4	8	1.07	0.984	0	0:00:04.900230
2140	9	9	1.18	0.991	1	0:00:04.907337
2160	0	0	0.232	0.678	1	0:00:04.894324
2180	4	4	1.56	0.999	1	0:00:04.904363
2200	0	-1	-0.0278	0.478	0	0:00:04.903355
2220	1	1	1.56	0.999	1	0:00:04.902511
2240	9	-1	-0.191	0.351	0	0:00:04.906862
2260	4	4	1.13	0.988	1	0:00:04.908698
2280	4	8	0.355	0.761	0	0:00:04.904482
2300	3	-1	-0.0307	0.476	0	0:00:04.908227
2320	5	2	0.712	0.923	0	0:00:04.926239
2340	7	7	1.6	0.999	1	0:00:04.910599
2360	7	7	0.244	0.687	1	0:00:04.929675
2380	8	8	1.53	0.999	1	0:00:04.918947
2400	0	0	1.2	0.992	1	0:00:04.912212
2420	8	5	0.117	0.592	0	0:00:04.922092
2440	7	7	0.874	0.96	1	0:00:04.921328
2460	9	-1	-0.0504	0.46	0	0:00:04.922459
2480	8	8	1.36	0.997	1	0:00:04.920092
2500	4	4	0.351	0.758	1	0:00:04.917696
2520	1	1	0.309	0.732	1	0:00:04.918819
2540	2	-1	-0.0677	0.446	0	0:00:04.922007
2560	7	7	0.277	0.71	1	0:00:04.916116
2580	6	6	0.198	0.654	1	0:00:04.921422
2600	8	8	1.56	0.999	1	0:00:04.910478
2620	1	-1	-0.012	0.49	0	0:00:04.927791
2640	7	7	0.845	0.954	1	0:00:04.919587
2660	3	2	0.205	0.659	0	0:00:04.918714
2680	0	0	1.6	0.999	1	0:00:04.904611
2700	9	9	0.306	0.73	1	0:00:04.918238
2720	3	3	0.956	0.972	1	0:00:04.917383
2740	1	1	0.257	0.696	1	0:00:04.923318
2760	2	2	1.23	0.993	1	0:00:04.924264
2780	7	7	1.46	0.998	1	0:00:04.918240
2800	4	4	0.258	0.697	1	0:00:04.923942
2820	6	6	0.615	0.891	1	0:00:04.924660
2840	3	3	1.6	0.999	1	0:00:04.913687
2860	5	5	0.0445	0.535	1	0:00:04.916036
2880	4	4	1.56	0.999	1	0:00:04.915518
2900	3	-1	-0.044	0.465	0	0:00:04.917990
2920	2	3	0.919	0.967	0	0:00:04.909617
2940	3	0	0.702	0.92	0	0:00:04.921684
2960	9	9	0.595	0.883	1	0:00:04.921517
2980	8	8	1.41	0.998	1	0:00:04.923570
3000	5	5	1.3	0.995	1	0:00:04.921401
3020	1	1	0.711	0.923	1	0:00:04.933841
3040	7	7	1.6	0.999	1	0:00:04.899560
3060	7	7	1.28	0.995	1	0:00:04.921345
3080	1	1	0.305	0.729	1	0:00:04.920538
3100	0	0	1.25	0.994	1	0:00:04.875282
3120	4	2	0.604	0.886	0	0:00:04.942344
3140	8	8	1.17	0.99	1	0:00:04.917023
3160	6	2	0.321	0.739	0	0:00:04.985923
3180	3	3	0.627	0.895	1	0:00:04.842545
3200	5	7	0.117	0.593	0	0:00:05.013121
3220	3	3	0.208	0.661	1	0:00:04.908144
3240	4	-1	-0.156	0.377	0	0:00:04.904249
3260	7	7	1.0	0.978	1	0:00:04.899349
3280	3	5	1.1	0.986	0	0:00:04.893571
3300	4	4	0.326	0.743	1	0:00:04.900403
3320	2	7	0.992	0.976	0	0:00:04.906396
3340	6	6	0.00364	0.503	1	0:00:04.984997
3360	4	4	0.057	0.545	1	0:00:04.990567
3380	8	8	1.6	0.999	1	0:00:04.981186
3400	6	4	1.04	0.981	0	0:00:04.949839
3420	5	-1	-0.148	0.384	0	0:00:05.108098
3440	2	3	1.12	0.987	0	0:00:04.947125
