idx	label	predict	radius	pABar	correct	time
0	3	3	0.52	0.851	1	0:00:06.178571
20	7	7	0.514	0.848	1	0:00:05.234080
40	4	4	0.279	0.712	1	0:00:05.232057
60	7	7	1.04	0.981	1	0:00:05.237546
80	8	8	1.15	0.99	1	0:00:05.436355
100	4	-1	-0.215	0.334	0	0:00:05.626626
120	8	8	0.132	0.604	1	0:00:05.778582
140	6	6	0.276	0.71	1	0:00:05.747634
160	2	2	0.476	0.829	1	0:00:05.647558
180	0	0	1.02	0.979	1	0:00:05.436179
200	5	5	0.334	0.748	1	0:00:05.439668
220	7	7	1.35	0.996	1	0:00:05.443185
240	1	1	1.6	0.999	1	0:00:05.530303
260	8	8	0.0646	0.551	1	0:00:05.898217
280	9	9	0.873	0.96	1	0:00:05.799024
300	6	6	0.732	0.929	1	0:00:05.544384
320	3	3	0.423	0.801	1	0:00:05.332790
340	2	4	0.204	0.659	0	0:00:05.343857
360	9	9	0.203	0.657	1	0:00:06.099643
380	6	6	0.312	0.734	1	0:00:05.835881
400	9	9	1.18	0.991	1	0:00:05.490508
420	4	4	0.894	0.963	1	0:00:05.468453
440	1	1	0.522	0.852	1	0:00:05.459866
460	5	5	1.09	0.985	1	0:00:05.464146
480	8	9	0.58	0.877	0	0:00:05.461650
500	4	6	0.242	0.686	0	0:00:05.465546
520	5	5	0.455	0.819	1	0:00:05.524367
540	1	1	0.556	0.867	1	0:00:06.175399
560	0	0	1.28	0.995	1	0:00:06.082605
580	4	4	0.618	0.892	1	0:00:06.071497
600	8	8	1.21	0.992	1	0:00:05.428240
620	7	7	0.398	0.787	1	0:00:05.569780
640	5	3	0.884	0.962	0	0:00:05.441772
660	9	9	0.933	0.969	1	0:00:05.447194
680	9	9	0.144	0.614	1	0:00:05.892734
700	7	7	0.754	0.934	1	0:00:06.039635
720	4	-1	-0.297	0.276	0	0:00:06.061916
740	2	3	0.025	0.52	0	0:00:05.926843
760	3	3	0.199	0.654	1	0:00:05.459012
780	9	9	0.553	0.866	1	0:00:05.451252
800	7	7	1.6	0.999	1	0:00:05.444036
820	6	-1	-0.0836	0.434	0	0:00:05.924160
840	7	7	1.6	0.999	1	0:00:06.177813
860	4	4	0.465	0.824	1	0:00:05.745631
880	8	8	1.13	0.988	1	0:00:06.088242
900	2	2	0.0256	0.52	1	0:00:05.996172
920	6	6	0.114	0.59	1	0:00:05.613803
940	9	9	1.3	0.995	1	0:00:05.473222
960	9	9	1.18	0.991	1	0:00:05.466543
980	2	-1	-0.0918	0.427	0	0:00:05.472463
1000	5	5	1.21	0.992	1	0:00:05.474811
1020	1	1	1.37	0.997	1	0:00:06.021312
1040	7	5	0.787	0.942	0	0:00:05.559797
1060	9	9	1.33	0.996	1	0:00:06.191257
1080	6	6	0.534	0.857	1	0:00:05.800975
1100	7	-1	-0.000878	0.499	0	0:00:05.824908
1120	5	-1	-0.242	0.314	0	0:00:05.777973
1140	6	6	0.417	0.798	1	0:00:05.775934
1160	8	-1	-0.0129	0.49	0	0:00:05.768335
1180	3	3	0.648	0.903	1	0:00:05.776238
1200	8	8	0.414	0.796	1	0:00:05.777850
1220	9	-1	-0.18	0.359	0	0:00:05.776565
1240	2	6	0.759	0.936	0	0:00:05.793462
1260	1	9	0.323	0.741	0	0:00:05.406623
1280	3	3	0.0701	0.556	1	0:00:05.401154
1300	4	3	0.295	0.722	0	0:00:05.397263
1320	7	-1	-0.0903	0.428	0	0:00:05.401664
1340	1	1	1.41	0.998	1	0:00:05.426853
1360	7	7	0.841	0.954	1	0:00:06.195449
1380	4	5	0.529	0.855	0	0:00:05.459521
1400	5	3	0.442	0.812	0	0:00:05.709864
1420	4	-1	-0.0188	0.485	0	0:00:05.410024
1440	0	0	0.188	0.647	1	0:00:06.012851
1460	6	6	0.765	0.937	1	0:00:05.313181
1480	1	1	0.273	0.708	1	0:00:05.799241
1500	1	1	0.748	0.933	1	0:00:05.821131
1520	7	7	0.629	0.896	1	0:00:05.720248
1540	8	8	1.38	0.997	1	0:00:05.402210
1560	7	7	1.6	0.999	1	0:00:05.395231
1580	6	1	0.0827	0.566	0	0:00:05.405916
1600	8	9	0.0368	0.529	0	0:00:05.402718
1620	5	-1	-0.011	0.491	0	0:00:05.974483
1640	7	3	0.455	0.819	0	0:00:05.520081
1660	3	3	0.222	0.672	1	0:00:05.934565
1680	6	6	0.794	0.944	1	0:00:05.787810
1700	5	5	0.169	0.633	1	0:00:05.748363
1720	4	4	0.0623	0.55	1	0:00:05.381650
1740	1	1	0.522	0.852	1	0:00:05.387144
1760	0	0	0.541	0.86	1	0:00:05.391095
1780	7	7	0.779	0.94	1	0:00:05.386285
