idx	label	predict	radius	pABar	correct	time
0	3	3	0.972	0.974	1	0:00:06.102002
20	7	7	0.674	0.911	1	0:00:05.289410
40	4	4	0.576	0.875	1	0:00:05.372278
60	7	7	1.13	0.988	1	0:00:05.304943
80	8	8	1.6	0.999	1	0:00:05.304284
100	4	5	0.0722	0.557	0	0:00:05.588233
120	8	8	0.674	0.911	1	0:00:05.355452
140	6	6	0.39	0.782	1	0:00:05.570231
160	2	2	0.896	0.963	1	0:00:05.416496
180	0	0	1.39	0.997	1	0:00:05.415587
200	5	5	0.631	0.896	1	0:00:05.419290
220	7	7	1.51	0.999	1	0:00:05.415509
240	1	1	1.6	0.999	1	0:00:05.855731
260	8	3	0.0668	0.553	0	0:00:06.055478
280	9	9	1.22	0.993	1	0:00:05.579823
300	6	6	0.769	0.938	1	0:00:05.560399
320	3	3	0.626	0.895	1	0:00:05.456620
340	2	4	0.672	0.911	0	0:00:05.461338
360	9	5	0.146	0.615	0	0:00:05.467579
380	6	4	0.0933	0.574	0	0:00:05.459157
400	9	9	1.47	0.998	1	0:00:05.457721
420	4	4	1.4	0.997	1	0:00:05.460923
440	1	1	0.712	0.923	1	0:00:05.457858
460	5	5	1.3	0.995	1	0:00:05.461377
480	8	9	0.727	0.927	0	0:00:05.445007
500	4	-1	-0.0362	0.471	0	0:00:05.460134
520	5	5	0.426	0.803	1	0:00:05.459029
540	1	1	0.8	0.945	1	0:00:05.464569
560	0	0	1.6	0.999	1	0:00:05.439793
580	4	4	1.35	0.996	1	0:00:05.472014
600	8	8	1.56	0.999	1	0:00:05.463250
620	7	7	0.408	0.793	1	0:00:05.464036
640	5	3	1.26	0.994	0	0:00:05.467307
660	9	9	1.44	0.998	1	0:00:05.459089
680	9	-1	-0.0328	0.474	0	0:00:05.470893
700	7	7	0.825	0.951	1	0:00:05.458224
720	4	4	0.399	0.787	1	0:00:05.462636
740	2	3	0.378	0.775	0	0:00:05.469419
760	3	3	0.695	0.918	1	0:00:05.471995
780	9	9	0.916	0.967	1	0:00:05.885101
800	7	7	1.6	0.999	1	0:00:05.743608
820	6	-1	-0.00125	0.499	0	0:00:05.828288
840	7	7	1.6	0.999	1	0:00:05.418048
860	4	4	0.918	0.967	1	0:00:05.416809
880	8	8	1.6	0.999	1	0:00:05.405138
900	2	2	0.302	0.727	1	0:00:05.420634
920	6	6	0.161	0.626	1	0:00:05.417990
940	9	9	1.49	0.999	1	0:00:05.875768
960	9	9	1.37	0.997	1	0:00:06.017508
980	2	2	0.327	0.744	1	0:00:05.450073
1000	5	5	1.51	0.999	1	0:00:05.508069
1020	1	1	1.6	0.999	1	0:00:05.986286
1040	7	5	0.77	0.938	0	0:00:05.757886
1060	9	9	1.44	0.998	1	0:00:05.394791
1080	6	6	1.11	0.987	1	0:00:05.439131
1100	7	0	0.282	0.714	0	0:00:05.426909
1120	5	2	0.0731	0.558	0	0:00:05.447727
1140	6	6	0.228	0.676	1	0:00:05.908115
1160	8	0	0.342	0.753	0	0:00:05.759027
1180	3	3	1.11	0.987	1	0:00:05.698507
1200	8	8	0.416	0.797	1	0:00:05.700552
1220	9	-1	-0.031	0.475	0	0:00:05.689543
1240	2	6	0.889	0.962	0	0:00:05.702386
1260	1	9	0.548	0.864	0	0:00:05.692099
1280	3	3	0.199	0.655	1	0:00:05.413496
1300	4	3	0.431	0.806	0	0:00:05.462239
1320	7	2	0.34	0.752	0	0:00:05.461836
1340	1	1	1.56	0.999	1	0:00:05.457588
1360	7	7	1.03	0.98	1	0:00:05.476405
1380	4	5	0.716	0.924	0	0:00:05.469007
1400	5	3	0.798	0.945	0	0:00:05.464611
1420	4	4	0.0607	0.548	1	0:00:05.474482
1440	0	-1	-0.0483	0.462	0	0:00:05.476908
1460	6	6	0.634	0.898	1	0:00:05.477313
1480	1	1	0.194	0.651	1	0:00:05.476173
1500	1	1	1.16	0.99	1	0:00:05.471517
1520	7	7	0.501	0.842	1	0:00:05.474136
1540	8	8	1.6	0.999	1	0:00:05.461797
1560	7	7	1.6	0.999	1	0:00:05.465801
1580	6	3	0.0635	0.55	0	0:00:05.476575
1600	8	-1	-0.0484	0.461	0	0:00:05.473022
1620	5	4	0.216	0.667	0	0:00:05.469499
1640	7	3	0.682	0.914	0	0:00:05.476648
1660	3	3	0.284	0.715	1	0:00:05.477610
1680	6	6	0.99	0.976	1	0:00:05.933555
1700	5	5	0.0716	0.557	1	0:00:05.766078
1720	4	4	0.134	0.605	1	0:00:05.446524
1740	1	1	0.694	0.917	1	0:00:05.449164
1760	0	0	0.478	0.831	1	0:00:05.453155
1780	7	7	1.07	0.984	1	0:00:05.456015
1800	4	-1	-0.032	0.475	0	0:00:05.452461
1820	8	8	0.583	0.878	1	0:00:05.454939
1840	8	4	0.501	0.842	0	0:00:05.456138
1860	8	8	0.974	0.974	1	0:00:05.709093
1880	1	1	0.563	0.87	1	0:00:05.644048
1900	8	8	1.6	0.999	1	0:00:06.015994
1920	2	2	1.46	0.998	1	0:00:05.647326
1940	5	-1	-0.14	0.39	0	0:00:05.863056
1960	2	5	0.398	0.787	0	0:00:05.412033
1980	9	9	1.6	0.999	1	0:00:05.407671
2000	1	6	0.0926	0.573	0	0:00:05.612095
2020	9	9	1.56	0.999	1	0:00:06.033313
2040	0	0	1.29	0.995	1	0:00:05.895239
2060	5	3	0.915	0.966	0	0:00:05.764844
2080	1	1	0.0256	0.52	1	0:00:05.543336
2100	2	2	1.33	0.996	1	0:00:05.549065
2120	4	8	1.05	0.982	0	0:00:05.532586
2140	9	9	1.43	0.998	1	0:00:05.547014
2160	0	0	0.349	0.758	1	0:00:05.529346
2180	4	4	1.56	0.999	1	0:00:05.539373
2200	0	2	0.115	0.591	0	0:00:05.527297
2220	1	1	1.6	0.999	1	0:00:05.527088
2240	9	-1	-0.141	0.389	0	0:00:05.536420
2260	4	4	1.33	0.996	1	0:00:05.541128
2280	4	8	0.0622	0.549	0	0:00:05.532447
2300	3	2	0.00639	0.505	0	0:00:05.546523
2320	5	2	1.02	0.98	0	0:00:05.533643
2340	7	7	1.6	0.999	1	0:00:05.450497
2360	7	7	0.103	0.581	1	0:00:05.512669
2380	8	8	1.6	0.999	1	0:00:05.500088
2400	0	0	1.12	0.987	1	0:00:05.573065
2420	8	5	0.21	0.663	0	0:00:05.495831
2440	7	7	1.04	0.981	1	0:00:05.491179
2460	9	7	0.132	0.604	0	0:00:05.424055
2480	8	8	1.56	0.999	1	0:00:05.449957
2500	4	4	0.388	0.781	1	0:00:05.454795
2520	1	1	0.264	0.701	1	0:00:05.456270
2540	2	5	0.0819	0.565	0	0:00:05.469244
2560	7	7	0.151	0.618	1	0:00:05.459143
2580	6	6	0.314	0.735	1	0:00:05.455013
2600	8	8	1.6	0.999	1	0:00:05.442738
2620	1	-1	-0.2	0.344	0	0:00:05.449298
2640	7	7	1.11	0.987	1	0:00:05.453294
2660	3	2	0.475	0.829	0	0:00:05.430973
2680	0	0	1.6	0.999	1	0:00:05.423895
2700	9	9	0.358	0.763	1	0:00:05.437848
2720	3	3	1.01	0.978	1	0:00:05.444875
2740	1	1	0.575	0.875	1	0:00:05.445675
2760	2	2	1.35	0.996	1	0:00:05.451174
2780	7	7	1.49	0.999	1	0:00:05.440702
2800	4	4	0.292	0.72	1	0:00:05.451591
2820	6	6	0.779	0.94	1	0:00:05.457008
2840	3	3	1.6	0.999	1	0:00:05.447664
2860	5	-1	-0.0385	0.469	0	0:00:05.455471
2880	4	4	1.6	0.999	1	0:00:05.449431
2900	3	5	0.0571	0.545	0	0:00:05.460611
2920	2	3	0.935	0.969	0	0:00:05.447652
2940	3	0	0.839	0.953	0	0:00:05.464774
2960	9	9	0.946	0.971	1	0:00:05.460552
2980	8	8	1.33	0.996	1	0:00:05.463081
3000	5	5	1.56	0.999	1	0:00:05.463881
3020	1	1	0.92	0.967	1	0:00:05.457950
3040	7	7	1.6	0.999	1	0:00:05.456157
3060	7	7	1.2	0.992	1	0:00:05.459119
3080	1	1	0.488	0.835	1	0:00:05.581776
3100	0	0	1.34	0.996	1	0:00:06.021221
3120	4	2	0.765	0.937	0	0:00:05.725942
3140	8	8	1.47	0.998	1	0:00:05.847683
3160	6	2	0.538	0.859	0	0:00:05.388215
3180	3	3	0.834	0.952	1	0:00:05.707521
3200	5	7	0.152	0.62	0	0:00:05.788599
3220	3	3	0.312	0.734	1	0:00:05.803602
3240	4	-1	-0.144	0.387	0	0:00:05.592415
3260	7	7	1.35	0.996	1	0:00:05.406774
3280	3	5	1.09	0.985	0	0:00:05.398744
3300	4	4	0.434	0.807	1	0:00:05.662185
3320	2	7	1.05	0.982	0	0:00:05.532445
3340	6	6	0.155	0.622	1	0:00:05.883717
3360	4	4	0.232	0.679	1	0:00:05.548337
3380	8	8	1.6	0.999	1	0:00:05.519728
3400	6	4	1.33	0.996	0	0:00:05.543124
3420	5	3	0.312	0.734	0	0:00:05.552751
3440	2	3	1.24	0.993	0	0:00:05.546917
3460	1	1	0.865	0.958	1	0:00:05.565769
3480	2	2	1.6	0.999	1	0:00:05.553160
3500	1	1	0.266	0.703	1	0:00:05.568861
3520	1	1	1.6	0.999	1	0:00:05.562687
3540	6	6	0.605	0.887	1	0:00:05.557114
3560	1	-1	-0.126	0.4	0	0:00:05.547356
3580	4	4	0.423	0.801	1	0:00:05.547966
3600	4	2	1.53	0.999	0	0:00:05.563473
3620	0	6	0.0112	0.509	0	0:00:05.974038
3640	6	2	0.212	0.664	0	0:00:05.324389
3660	0	0	0.52	0.851	1	0:00:05.675408
3680	0	0	0.0365	0.529	1	0:00:05.770328
3700	3	3	1.09	0.985	1	0:00:05.587125
3720	2	2	1.6	0.999	1	0:00:05.484188
3740	0	0	1.17	0.99	1	0:00:05.532066
3760	7	7	1.1	0.986	1	0:00:05.577938
3780	4	-1	-0.0355	0.472	0	0:00:05.567859
3800	9	9	0.578	0.876	1	0:00:05.558555
3820	0	-1	-0.0888	0.43	0	0:00:05.556171
3840	6	3	1.02	0.979	0	0:00:05.569523
3860	7	7	1.6	0.999	1	0:00:05.571762
3880	6	4	0.0524	0.542	0	0:00:05.373385
3900	3	6	1.15	0.989	0	0:00:05.366292
3920	7	7	0.452	0.817	1	0:00:05.373125
3940	6	-1	-0.0912	0.428	0	0:00:05.384269
3960	2	2	1.29	0.995	1	0:00:05.391061
3980	9	9	0.226	0.675	1	0:00:05.388079
4000	8	0	0.239	0.684	0	0:00:05.381613
4020	8	8	1.01	0.978	1	0:00:05.378705
4040	0	0	1.6	0.999	1	0:00:05.366252
4060	6	-1	-0.0305	0.476	0	0:00:05.382973
4080	1	1	0.546	0.863	1	0:00:05.387188
4100	7	7	1.6	0.999	1	0:00:05.384636
4120	4	4	1.15	0.989	1	0:00:05.375317
4140	5	5	0.597	0.884	1	0:00:05.394060
4160	5	2	0.223	0.672	0	0:00:05.451011
4180	0	8	0.725	0.926	0	0:00:05.738289
4200	4	2	0.501	0.842	0	0:00:05.475217
4220	4	0	1.51	0.999	0	0:00:05.490025
