idx	label	predict	radius	pABar	correct	time
0	3	3	0.779	0.94	1	0:00:05.689065
20	7	7	0.805	0.946	1	0:00:04.714336
40	4	4	0.293	0.721	1	0:00:04.970720
60	7	7	0.857	0.957	1	0:00:04.934887
80	8	8	1.37	0.997	1	0:00:04.922314
100	4	-1	-0.145	0.386	0	0:00:04.927390
120	8	8	0.201	0.656	1	0:00:04.924569
140	6	6	0.128	0.601	1	0:00:04.929345
160	2	2	0.968	0.974	1	0:00:04.923587
180	0	0	1.36	0.997	1	0:00:04.921300
200	5	5	0.432	0.806	1	0:00:04.926442
220	7	7	1.43	0.998	1	0:00:04.924366
240	1	1	1.6	0.999	1	0:00:04.925419
260	8	8	0.144	0.613	1	0:00:04.931890
280	9	9	0.72	0.925	1	0:00:04.933959
300	6	6	0.753	0.934	1	0:00:05.049033
320	3	5	0.1	0.58	0	0:00:05.156069
340	2	4	0.502	0.842	0	0:00:04.956348
360	9	5	0.0208	0.517	0	0:00:05.100313
380	6	-1	-0.15	0.382	0	0:00:05.065758
400	9	9	1.18	0.991	1	0:00:05.067434
420	4	4	1.42	0.998	1	0:00:05.068391
440	1	1	0.691	0.916	1	0:00:05.062650
460	5	5	1.19	0.991	1	0:00:04.924504
480	8	9	0.579	0.877	0	0:00:04.973184
500	4	-1	-0.0851	0.432	0	0:00:04.994531
520	5	5	0.664	0.908	1	0:00:04.991607
540	1	1	0.408	0.793	1	0:00:05.136934
560	0	0	1.47	0.998	1	0:00:05.068664
580	4	4	1.25	0.994	1	0:00:05.044397
600	8	8	1.53	0.999	1	0:00:05.039704
620	7	7	0.151	0.619	1	0:00:04.878354
640	5	3	1.02	0.979	0	0:00:05.014621
660	9	9	1.25	0.994	1	0:00:05.037315
680	9	9	0.0199	0.516	1	0:00:05.079601
700	7	7	0.695	0.918	1	0:00:05.045533
720	4	4	0.223	0.672	1	0:00:05.053102
740	2	3	0.114	0.59	0	0:00:04.969752
760	3	3	0.484	0.834	1	0:00:04.873331
780	9	9	0.939	0.97	1	0:00:04.967268
800	7	7	1.6	0.999	1	0:00:05.019251
820	6	-1	-0.201	0.344	0	0:00:05.027544
840	7	7	1.6	0.999	1	0:00:05.020511
860	4	4	0.861	0.958	1	0:00:04.905895
880	8	8	1.37	0.997	1	0:00:04.911670
900	2	-1	-0.325	0.258	0	0:00:04.920551
