idx	label	predict	radius	pABar	correct	time
0	3	3	0.773	0.939	1	0:00:06.099730
20	7	7	0.513	0.847	1	0:00:05.320002
40	4	4	0.557	0.867	1	0:00:05.397946
60	7	7	1.28	0.995	1	0:00:05.392304
80	8	8	1.6	0.999	1	0:00:05.381494
100	4	5	0.12	0.595	0	0:00:05.394462
120	8	8	0.718	0.924	1	0:00:05.389787
140	6	6	0.454	0.818	1	0:00:05.396369
160	2	2	0.411	0.795	1	0:00:05.870540
180	0	0	1.26	0.994	1	0:00:05.483096
200	5	5	0.463	0.823	1	0:00:05.432986
220	7	7	1.53	0.999	1	0:00:05.427100
240	1	1	1.6	0.999	1	0:00:05.438066
260	8	3	0.0157	0.513	0	0:00:05.433772
280	9	9	1.26	0.994	1	0:00:05.435390
300	6	6	0.685	0.915	1	0:00:05.694574
320	3	3	0.888	0.962	1	0:00:05.411507
340	2	4	0.421	0.8	0	0:00:05.411337
360	9	-1	-0.168	0.369	0	0:00:05.418681
380	6	6	0.0156	0.512	1	0:00:05.759477
400	9	9	1.42	0.998	1	0:00:05.822714
420	4	4	1.16	0.99	1	0:00:05.811852
440	1	1	0.561	0.869	1	0:00:05.760764
460	5	5	1.32	0.996	1	0:00:05.677600
480	8	9	0.56	0.869	0	0:00:05.671812
500	4	6	0.252	0.693	0	0:00:05.677918
520	5	5	0.242	0.686	1	0:00:05.543567
540	1	1	0.916	0.967	1	0:00:05.587899
560	0	0	1.6	0.999	1	0:00:05.502521
580	4	4	1.02	0.979	1	0:00:05.509285
600	8	8	1.27	0.994	1	0:00:05.509196
620	7	7	0.48	0.832	1	0:00:05.322340
640	5	3	1.33	0.996	0	0:00:05.349536
660	9	9	1.07	0.984	1	0:00:05.357797
680	9	-1	-0.0911	0.428	0	0:00:05.347315
700	7	7	0.872	0.959	1	0:00:05.353260
720	4	4	0.0875	0.569	1	0:00:05.352324
740	2	3	0.387	0.781	0	0:00:05.349061
760	3	3	0.663	0.908	1	0:00:05.721713
780	9	9	0.484	0.833	1	0:00:05.477601
800	7	7	1.6	0.999	1	0:00:05.472212
820	6	-1	-0.0231	0.482	0	0:00:05.480944
840	7	7	1.6	0.999	1	0:00:05.463538
860	4	4	0.673	0.911	1	0:00:05.552784
880	8	8	1.6	0.999	1	0:00:05.464748
900	2	2	0.184	0.644	1	0:00:05.486492
920	6	6	0.387	0.781	1	0:00:05.477358
940	9	9	1.39	0.997	1	0:00:05.491524
960	9	9	1.15	0.989	1	0:00:05.480857
980	2	-1	-0.0477	0.462	0	0:00:05.487184
1000	5	5	1.56	0.999	1	0:00:05.489148
1020	1	1	1.47	0.998	1	0:00:05.483176
1040	7	5	0.665	0.908	0	0:00:05.493147
1060	9	9	1.41	0.998	1	0:00:05.384438
1080	6	6	0.936	0.969	1	0:00:05.344776
1100	7	0	0.0411	0.533	0	0:00:05.339431
1120	5	-1	-0.0212	0.483	0	0:00:05.344573
1140	6	6	0.369	0.77	1	0:00:05.345584
1160	8	-1	-0.0578	0.454	0	0:00:05.338530
1180	3	3	1.49	0.999	1	0:00:05.338787
1200	8	8	0.39	0.782	1	0:00:05.343372
1220	9	-1	-0.0241	0.481	0	0:00:05.346584
1240	2	6	1.01	0.978	0	0:00:05.342794
1260	1	9	0.572	0.874	0	0:00:05.421695
1280	3	3	0.164	0.629	1	0:00:05.484416
1300	4	3	0.647	0.902	0	0:00:05.462772
1320	7	2	0.263	0.7	0	0:00:05.469589
1340	1	1	1.49	0.999	1	0:00:05.459786
1360	7	7	1.06	0.983	1	0:00:05.471999
1380	4	5	0.362	0.766	0	0:00:05.463150
1400	5	3	0.599	0.884	0	0:00:05.534348
1420	4	-1	-0.0397	0.468	0	0:00:05.372397
1440	0	-1	-0.0587	0.453	0	0:00:05.418184
1460	6	6	0.898	0.964	1	0:00:05.414589
1480	1	1	0.272	0.706	1	0:00:05.414759
1500	1	1	1.3	0.995	1	0:00:05.416172
1520	7	7	0.854	0.956	1	0:00:05.652162
1540	8	8	1.6	0.999	1	0:00:05.353412
1560	7	7	1.6	0.999	1	0:00:05.356925
1580	6	3	0.0688	0.555	0	0:00:05.361704
1600	8	-1	-0.126	0.401	0	0:00:05.362903
1620	5	4	0.146	0.615	0	0:00:05.358897
1640	7	3	0.613	0.89	0	0:00:05.357793
1660	3	3	0.0608	0.548	1	0:00:05.393148
1680	6	6	0.859	0.957	1	0:00:05.527326
1700	5	-1	-0.0599	0.452	0	0:00:05.802521
1720	4	4	0.0174	0.514	1	0:00:05.759145
1740	1	1	0.567	0.871	1	0:00:05.791465
1760	0	0	0.626	0.895	1	0:00:05.710392
1780	7	7	0.886	0.962	1	0:00:05.705526
1800	4	4	0.0741	0.559	1	0:00:05.642060
1820	8	8	0.677	0.912	1	0:00:05.546246
1840	8	4	0.198	0.654	0	0:00:05.551254
1860	8	8	1.13	0.988	1	0:00:05.433935
1880	1	1	1.03	0.981	1	0:00:05.441724
1900	8	8	1.6	0.999	1	0:00:05.431017
1920	2	2	1.43	0.998	1	0:00:05.449776
1940	5	-1	-0.0595	0.453	0	0:00:05.446687
1960	2	5	0.229	0.676	0	0:00:05.449125
1980	9	9	1.6	0.999	1	0:00:05.439198
