idx	label	predict	radius	pABar	correct	time
0	3	3	0.672	0.911	1	0:00:05.621285
20	7	7	0.557	0.867	1	0:00:04.770990
40	4	4	0.402	0.789	1	0:00:04.828102
60	7	7	1.08	0.984	1	0:00:04.936554
80	8	8	1.34	0.996	1	0:00:04.929495
100	4	-1	-0.0519	0.459	0	0:00:04.935943
120	8	8	0.353	0.76	1	0:00:04.935701
140	6	6	0.359	0.763	1	0:00:05.077890
160	2	2	0.595	0.883	1	0:00:05.054641
180	0	0	1.12	0.987	1	0:00:04.979194
200	5	5	0.444	0.813	1	0:00:05.007250
220	7	7	1.37	0.997	1	0:00:04.907789
240	1	1	1.6	0.999	1	0:00:04.905202
260	8	-1	-0.133	0.395	0	0:00:04.911036
280	9	9	1.06	0.983	1	0:00:04.905734
300	6	6	0.755	0.935	1	0:00:04.909338
320	3	3	0.553	0.866	1	0:00:04.897670
340	2	4	0.363	0.766	0	0:00:04.915397
360	9	-1	-0.077	0.439	0	0:00:04.930883
380	6	6	0.122	0.597	1	0:00:04.932951
400	9	9	1.29	0.995	1	0:00:04.937584
420	4	4	1.13	0.988	1	0:00:05.059093
440	1	1	0.584	0.878	1	0:00:05.021804
460	5	5	1.24	0.994	1	0:00:05.029267
480	8	9	0.662	0.907	0	0:00:05.028908
500	4	6	0.217	0.668	0	0:00:05.023592
520	5	5	0.417	0.798	1	0:00:05.016724
540	1	1	0.712	0.923	1	0:00:05.026160
560	0	0	1.51	0.999	1	0:00:05.008806
580	4	4	0.929	0.968	1	0:00:05.028919
600	8	8	1.33	0.996	1	0:00:05.029673
620	7	7	0.42	0.8	1	0:00:05.032160
640	5	3	1.06	0.983	0	0:00:04.941083
660	9	9	1.08	0.984	1	0:00:04.967384
680	9	9	0.0533	0.542	1	0:00:04.968248
700	7	7	0.833	0.952	1	0:00:04.985348
720	4	4	0.0177	0.514	1	0:00:04.986544
740	2	3	0.185	0.644	0	0:00:04.985149
760	3	3	0.464	0.823	1	0:00:04.817270
780	9	9	0.658	0.906	1	0:00:05.087627
800	7	7	1.6	0.999	1	0:00:05.094814
820	6	-1	-0.0103	0.492	0	0:00:05.009639
840	7	7	1.56	0.999	1	0:00:04.855215
860	4	4	0.623	0.894	1	0:00:04.865145
880	8	8	1.37	0.997	1	0:00:04.996796
900	2	2	0.163	0.628	1	0:00:04.950286
920	6	6	0.17	0.633	1	0:00:04.939426
940	9	9	1.43	0.998	1	0:00:04.944149
960	9	9	1.3	0.995	1	0:00:04.940043
980	2	-1	-0.0214	0.483	0	0:00:04.938451
1000	5	5	1.41	0.998	1	0:00:04.935527
1020	1	1	1.47	0.998	1	0:00:04.941030
1040	7	5	0.771	0.938	0	0:00:04.944210
1060	9	9	1.43	0.998	1	0:00:04.942552
1080	6	6	0.781	0.941	1	0:00:04.951295
1100	7	0	0.0836	0.566	0	0:00:04.952447
1120	5	-1	-0.135	0.394	0	0:00:04.958979
1140	6	6	0.382	0.777	1	0:00:04.966888
1160	8	0	0.108	0.585	0	0:00:04.961726
1180	3	3	0.942	0.97	1	0:00:04.962213
1200	8	8	0.381	0.777	1	0:00:04.959935
1220	9	-1	-0.24	0.315	0	0:00:04.965680
1240	2	6	0.849	0.955	0	0:00:04.962252
1260	1	9	0.414	0.796	0	0:00:04.961370
1280	3	3	0.118	0.593	1	0:00:04.994710
1300	4	3	0.483	0.833	0	0:00:05.031935
1320	7	2	0.104	0.582	0	0:00:04.879252
1340	1	1	1.51	0.999	1	0:00:04.893124
1360	7	7	0.923	0.968	1	0:00:04.898126
1380	4	5	0.576	0.875	0	0:00:04.894299
1400	5	3	0.583	0.878	0	0:00:04.891608
1420	4	-1	-0.0129	0.49	0	0:00:04.893583
1440	0	0	0.146	0.615	1	0:00:04.896277
1460	6	6	0.802	0.946	1	0:00:04.904565
1480	1	1	0.24	0.685	1	0:00:04.894261
1500	1	1	0.961	0.973	1	0:00:04.894681
1520	7	7	0.647	0.902	1	0:00:04.893278
1540	8	8	1.56	0.999	1	0:00:04.892365
1560	7	7	1.6	0.999	1	0:00:04.892166
1580	6	-1	-0.0543	0.457	0	0:00:04.899461
1600	8	-1	-0.0443	0.465	0	0:00:04.893394
1620	5	4	0.123	0.597	0	0:00:04.893602
1640	7	3	0.545	0.862	0	0:00:04.898004
1660	3	3	0.229	0.676	1	0:00:04.898880
1680	6	6	0.896	0.963	1	0:00:04.899337
1700	5	5	0.132	0.604	1	0:00:04.893650
1720	4	4	0.0944	0.575	1	0:00:04.900910
1740	1	1	0.583	0.878	1	0:00:04.894440
1760	0	0	0.539	0.859	1	0:00:04.891688
1780	7	7	0.923	0.968	1	0:00:04.892961
1800	4	4	0.0401	0.532	1	0:00:04.892119
1820	8	8	0.449	0.815	1	0:00:04.896832
1840	8	4	0.0873	0.569	0	0:00:04.892718
1860	8	8	0.945	0.971	1	0:00:04.895732
1880	1	1	0.754	0.934	1	0:00:04.900995
1900	8	8	1.56	0.999	1	0:00:04.884964
1920	2	2	1.16	0.99	1	0:00:05.179402
1940	5	-1	-0.0828	0.434	0	0:00:04.953988
1960	2	5	0.37	0.77	0	0:00:05.012615
1980	9	9	1.53	0.999	1	0:00:05.067105
2000	1	-1	-0.0379	0.47	0	0:00:05.091469
2020	9	9	1.56	0.999	1	0:00:04.967321
2040	0	0	1.04	0.981	1	0:00:04.876751
2060	5	3	0.637	0.899	0	0:00:04.873223
2080	1	1	0.156	0.622	1	0:00:04.877951
2100	2	2	0.897	0.964	1	0:00:04.876473
2120	4	8	0.673	0.911	0	0:00:04.877038
2140	9	9	1.19	0.991	1	0:00:04.880410
2160	0	0	0.429	0.804	1	0:00:04.962212
2180	4	4	1.25	0.994	1	0:00:05.115455
2200	0	2	0.0162	0.513	0	0:00:04.974624
2220	1	1	1.6	0.999	1	0:00:04.981328
2240	9	-1	-0.0316	0.475	0	0:00:04.991844
2260	4	4	1.04	0.982	1	0:00:04.946421
2280	4	-1	-0.135	0.394	0	0:00:04.874146
2300	3	-1	-0.186	0.355	0	0:00:04.876005
2320	5	2	0.823	0.95	0	0:00:04.880579
2340	7	7	1.6	0.999	1	0:00:04.875540
2360	7	7	0.146	0.615	1	0:00:04.883387
2380	8	8	1.35	0.996	1	0:00:05.018631
2400	0	0	0.968	0.974	1	0:00:05.068647
2420	8	-1	-0.0384	0.469	0	0:00:05.073438
2440	7	7	0.856	0.956	1	0:00:04.848262
2460	9	7	0.0218	0.517	0	0:00:05.109181
2480	8	8	1.28	0.995	1	0:00:05.101446
2500	4	4	0.248	0.69	1	0:00:04.955403
2520	1	1	0.444	0.812	1	0:00:04.895667
2540	2	5	0.00677	0.505	0	0:00:04.900020
2560	7	7	0.273	0.707	1	0:00:04.900168
2580	6	6	0.126	0.599	1	0:00:04.899580
2600	8	8	1.53	0.999	1	0:00:04.893199
2620	1	1	0.13	0.603	1	0:00:04.900426
2640	7	7	1.06	0.983	1	0:00:04.898293
2660	3	-1	-0.00301	0.498	0	0:00:04.896387
2680	0	0	1.6	0.999	1	0:00:04.888754
2700	9	9	0.363	0.766	1	0:00:04.897398
2720	3	3	0.814	0.948	1	0:00:04.903388
2740	1	1	0.695	0.918	1	0:00:05.081179
2760	2	2	0.905	0.965	1	0:00:05.025892
2780	7	7	1.53	0.999	1	0:00:05.016294
2800	4	4	0.208	0.661	1	0:00:05.034388
2820	6	6	0.969	0.974	1	0:00:04.824003
2840	3	3	1.6	0.999	1	0:00:04.895071
2860	5	-1	-0.161	0.374	0	0:00:04.988415
2880	4	4	1.6	0.999	1	0:00:05.074689
2900	3	5	0.0508	0.54	0	0:00:04.977610
2920	2	3	0.701	0.92	0	0:00:05.004421
2940	3	0	0.739	0.93	0	0:00:05.034120
2960	9	9	0.714	0.923	1	0:00:04.919896
2980	8	8	0.916	0.967	1	0:00:04.926125
3000	5	5	1.47	0.998	1	0:00:04.929216
3020	1	1	0.89	0.963	1	0:00:04.927853
3040	7	7	1.6	0.999	1	0:00:04.919868
3060	7	7	1.03	0.98	1	0:00:04.923766
3080	1	1	0.407	0.792	1	0:00:04.925593
3100	0	0	1.15	0.989	1	0:00:04.916535
3120	4	2	0.264	0.701	0	0:00:04.927943
3140	8	8	1.02	0.979	1	0:00:04.905534
3160	6	2	0.373	0.772	0	0:00:04.910362
3180	3	3	0.626	0.895	1	0:00:04.906620
3200	5	7	0.0706	0.556	0	0:00:04.918022
3220	3	3	0.0605	0.548	1	0:00:04.919386
3240	4	-1	-0.216	0.333	0	0:00:04.915266
3260	7	7	1.06	0.983	1	0:00:04.908292
3280	3	5	0.74	0.931	0	0:00:04.908087
3300	4	4	0.374	0.773	1	0:00:04.917833
3320	2	7	1.03	0.981	0	0:00:04.919634
3340	6	6	0.396	0.786	1	0:00:04.915674
3360	4	4	0.176	0.637	1	0:00:04.915605
3380	8	8	1.53	0.999	1	0:00:04.913945
3400	6	4	0.86	0.957	0	0:00:04.917145
3420	5	3	0.193	0.65	0	0:00:04.921146
3440	2	3	0.832	0.952	0	0:00:04.923550
3460	1	1	0.756	0.935	1	0:00:04.928500
3480	2	2	1.6	0.999	1	0:00:04.913175
3500	1	1	0.337	0.75	1	0:00:04.920919
3520	1	1	1.56	0.999	1	0:00:04.915509
3540	6	6	0.666	0.909	1	0:00:04.916395
3560	1	-1	-0.0941	0.425	0	0:00:04.919720
3580	4	4	0.277	0.71	1	0:00:04.939921
3600	4	2	1.24	0.994	0	0:00:05.035554
3620	0	-1	-0.164	0.371	0	0:00:04.969469
3640	6	2	0.326	0.743	0	0:00:05.155202
3660	0	0	0.693	0.917	1	0:00:05.114402
3680	0	-1	-0.101	0.42	0	0:00:04.891006
3700	3	3	0.811	0.948	1	0:00:04.906579
3720	2	2	1.56	0.999	1	0:00:04.904517
3740	0	0	1.11	0.987	1	0:00:04.900541
3760	7	7	1.18	0.991	1	0:00:04.912871
3780	4	4	0.149	0.617	1	0:00:04.909405
3800	9	9	0.509	0.846	1	0:00:05.184891
3820	0	-1	-0.0297	0.476	0	0:00:04.895628
3840	6	3	0.691	0.917	0	0:00:04.928964
3860	7	7	1.6	0.999	1	0:00:04.919265
3880	6	-1	-0.0587	0.453	0	0:00:04.924025
3900	3	6	0.835	0.953	0	0:00:04.917214
3920	7	7	0.211	0.663	1	0:00:04.926673
3940	6	-1	-0.259	0.303	0	0:00:04.924819
3960	2	2	1.05	0.982	1	0:00:04.930809
3980	9	9	0.195	0.652	1	0:00:04.925280
4000	8	0	0.132	0.604	0	0:00:04.919568
4020	8	8	0.641	0.9	1	0:00:04.920050
4040	0	0	1.6	0.999	1	0:00:04.914442
4060	6	6	0.104	0.583	1	0:00:04.925550
4080	1	1	0.695	0.918	1	0:00:04.923783
4100	7	7	1.6	0.999	1	0:00:04.921140
4120	4	4	1.0	0.978	1	0:00:04.914496
4140	5	5	0.655	0.905	1	0:00:04.924967
4160	5	-1	-0.0157	0.488	0	0:00:04.928394
4180	0	8	0.19	0.648	0	0:00:04.918952
4200	4	2	0.257	0.696	0	0:00:04.925826
4220	4	0	1.42	0.998	0	0:00:04.909890
4240	7	0	0.345	0.755	0	0:00:04.917207
4260	8	8	1.37	0.997	1	0:00:04.918849
4280	8	-1	-0.0626	0.45	0	0:00:04.920480
4300	8	8	1.14	0.989	1	0:00:04.921417
4320	1	-1	-0.0291	0.477	0	0:00:04.915458
4340	0	0	1.14	0.988	1	0:00:04.914556
4360	6	-1	-0.0444	0.465	0	0:00:04.921697
4380	9	9	0.586	0.879	1	0:00:04.920829
4400	3	4	0.000376	0.5	0	0:00:04.889721
4420	5	5	0.326	0.743	1	0:00:04.898837
4440	2	2	0.729	0.927	1	0:00:04.908225
4460	9	9	0.433	0.807	1	0:00:04.904839
4480	9	9	1.29	0.995	1	0:00:04.905803
4500	3	5	0.308	0.731	0	0:00:04.905674
4520	3	6	0.374	0.772	0	0:00:05.151129
4540	9	9	1.6	0.999	1	0:00:05.086864
4560	1	1	1.11	0.987	1	0:00:05.023511
4580	6	4	0.262	0.7	0	0:00:05.023791
4600	4	4	0.0622	0.549	1	0:00:05.018186
4620	7	3	0.429	0.805	0	0:00:05.012665
4640	2	2	0.45	0.816	1	0:00:05.008169
4660	7	7	0.046	0.537	1	0:00:05.015368
4680	9	1	0.0492	0.539	0	0:00:04.988731
4700	6	5	0.104	0.582	0	0:00:04.863848
4720	8	8	0.212	0.664	1	0:00:04.867298
4740	5	3	0.698	0.919	0	0:00:04.988290
4760	3	-1	-0.0944	0.425	0	0:00:05.032542
4780	0	0	0.898	0.964	1	0:00:05.025383
4800	9	9	1.6	0.999	1	0:00:05.033310
4820	3	3	1.17	0.99	1	0:00:05.040460
4840	0	0	1.6	0.999	1	0:00:04.819778
4860	5	5	0.823	0.95	1	0:00:04.844501
4880	0	-1	-0.0785	0.438	0	0:00:05.261387
4900	3	-1	-0.0297	0.476	0	0:00:05.020788
4920	7	7	1.51	0.999	1	0:00:04.994214
4940	6	-1	-0.0424	0.466	0	0:00:04.999821
4960	4	3	0.0435	0.535	0	0:00:05.001456
4980	1	9	0.677	0.912	0	0:00:05.015945
5000	7	7	1.6	0.999	1	0:00:05.024205
5020	8	8	1.56	0.999	1	0:00:05.012822
5040	3	3	0.158	0.624	1	0:00:04.958866
5060	6	6	0.0261	0.521	1	0:00:05.074214
5080	7	7	1.51	0.999	1	0:00:05.021001
5100	3	3	1.4	0.997	1	0:00:05.019275
5120	9	9	0.515	0.848	1	0:00:04.930890
5140	8	8	1.05	0.982	1	0:00:05.049178
5160	0	0	0.668	0.909	1	0:00:04.969374
5180	9	7	0.0961	0.576	0	0:00:04.982829
5200	3	3	1.27	0.994	1	0:00:04.991966
5220	0	0	0.884	0.962	1	0:00:04.984410
5240	1	9	0.122	0.596	0	0:00:04.988614
5260	0	0	1.51	0.999	1	0:00:04.985149
5280	0	-1	-0.00526	0.496	0	0:00:04.984214
5300	9	9	0.714	0.923	1	0:00:04.990534
5320	7	7	1.12	0.987	1	0:00:04.988678
5340	3	4	1.07	0.984	0	0:00:04.987874
5360	9	9	1.22	0.993	1	0:00:04.996629
5380	1	9	0.903	0.964	0	0:00:04.986399
5400	9	9	1.15	0.989	1	0:00:04.984142
5420	6	6	0.737	0.93	1	0:00:04.985870
5440	9	9	1.6	0.999	1	0:00:04.980838
5460	0	0	1.6	0.999	1	0:00:05.014092
5480	1	1	0.567	0.872	1	0:00:05.005584
5500	8	8	0.782	0.941	1	0:00:04.885864
5520	4	4	0.0145	0.512	1	0:00:04.965619
5540	5	-1	-0.17	0.367	0	0:00:05.006450
5560	3	5	0.0655	0.552	0	0:00:05.042299
5580	5	3	0.2	0.655	0	0:00:05.104524
5600	6	-1	-0.0645	0.449	0	0:00:05.005973
5620	3	4	0.0762	0.561	0	0:00:04.955126
5640	2	2	0.655	0.905	1	0:00:04.952942
5660	9	9	0.296	0.723	1	0:00:04.950413
5680	2	3	0.486	0.835	0	0:00:04.951916
5700	3	3	0.235	0.681	1	0:00:04.959741
5720	9	9	1.53	0.999	1	0:00:04.948640
5740	6	6	0.766	0.937	1	0:00:04.958815
5760	2	2	0.431	0.805	1	0:00:04.961630
5780	7	7	1.6	0.999	1	0:00:05.004287
5800	2	2	0.179	0.64	1	0:00:05.069644
5820	5	5	0.299	0.725	1	0:00:05.031198
5840	2	2	0.647	0.902	1	0:00:05.027037
5860	0	0	0.39	0.782	1	0:00:05.022096
5880	0	0	1.42	0.998	1	0:00:05.025453
5900	4	-1	-0.111	0.412	0	0:00:05.024972
5920	8	8	1.6	0.999	1	0:00:05.035873
5940	7	4	0.384	0.779	0	0:00:04.926343
5960	2	6	0.145	0.614	0	0:00:04.921959
5980	9	9	1.47	0.998	1	0:00:04.924373
6000	8	8	0.416	0.797	1	0:00:04.923482
6020	6	6	0.835	0.953	1	0:00:04.926572
6040	2	-1	-0.0242	0.481	0	0:00:04.929368
6060	3	3	0.17	0.633	1	0:00:04.922009
6080	1	1	0.682	0.914	1	0:00:04.924382
6100	1	1	1.12	0.987	1	0:00:04.926673
6120	5	5	0.908	0.965	1	0:00:04.925834
6140	9	9	1.07	0.984	1	0:00:04.955530
