idx	label	predict	radius	pABar	correct	time
0	3	3	1.24	0.993	1	0:00:06.138015
20	7	7	0.743	0.931	1	0:00:05.240273
40	4	4	0.791	0.943	1	0:00:05.434565
60	7	7	1.6	0.999	1	0:00:05.441993
80	8	8	1.6	0.999	1	0:00:05.430121
100	4	5	0.529	0.855	0	0:00:05.438375
120	8	8	1.53	0.999	1	0:00:05.430921
140	6	6	0.554	0.866	1	0:00:05.441114
160	2	0	0.237	0.682	0	0:00:05.443199
180	0	0	1.2	0.992	1	0:00:05.439985
200	5	3	0.3	0.726	0	0:00:05.446617
220	7	7	1.6	0.999	1	0:00:05.640994
240	1	1	1.6	0.999	1	0:00:05.381591
260	8	3	0.371	0.771	0	0:00:05.388880
280	9	9	1.6	0.999	1	0:00:05.381807
300	6	6	0.0746	0.559	1	0:00:05.386078
320	3	3	0.972	0.974	1	0:00:05.381321
340	2	4	0.549	0.864	0	0:00:05.385161
360	9	5	0.349	0.757	0	0:00:05.386204
380	6	4	0.219	0.669	0	0:00:05.385695
400	9	9	1.28	0.995	1	0:00:05.385638
420	4	4	1.6	0.999	1	0:00:05.374535
440	1	1	0.278	0.711	1	0:00:05.391453
460	5	5	1.53	0.999	1	0:00:05.386272
480	8	8	0.00514	0.504	1	0:00:05.388466
500	4	6	0.28	0.712	0	0:00:05.391625
520	5	7	0.0878	0.57	0	0:00:05.389773
540	1	1	1.23	0.993	1	0:00:05.670279
560	0	0	1.6	0.999	1	0:00:05.498384
580	4	4	1.31	0.996	1	0:00:05.484262
600	8	8	1.15	0.989	1	0:00:05.485211
620	7	7	0.365	0.767	1	0:00:05.480902
640	5	3	1.6	0.999	0	0:00:05.474773
660	9	3	0.412	0.795	0	0:00:05.481003
680	9	2	0.686	0.915	0	0:00:05.479612
700	7	7	0.701	0.92	1	0:00:05.788084
720	4	3	1.44	0.998	0	0:00:05.699311
740	2	3	1.05	0.982	0	0:00:05.498995
760	3	3	1.42	0.998	1	0:00:05.357210
780	9	1	0.203	0.658	0	0:00:05.415585
800	7	7	1.6	0.999	1	0:00:05.403069
820	6	5	0.255	0.695	0	0:00:05.411322
840	7	7	1.6	0.999	1	0:00:05.402469
860	4	4	0.626	0.895	1	0:00:05.414564
880	8	8	1.6	0.999	1	0:00:05.396985
900	2	6	1.3	0.995	0	0:00:05.411693
920	6	6	0.98	0.975	1	0:00:05.936878
940	9	9	1.25	0.994	1	0:00:05.654714
960	9	9	0.617	0.891	1	0:00:05.425600
980	2	6	0.31	0.732	0	0:00:05.420725
1000	5	5	1.6	0.999	1	0:00:05.427774
1020	1	1	1.07	0.984	1	0:00:05.432770
1040	7	7	0.735	0.929	1	0:00:05.442601
1060	9	9	1.42	0.998	1	0:00:05.434755
1080	6	6	1.26	0.994	1	0:00:05.434238
1100	7	8	0.121	0.596	0	0:00:05.435265
1120	5	2	0.303	0.728	0	0:00:05.434586
1140	6	6	0.479	0.831	1	0:00:05.434348
1160	8	8	0.568	0.872	1	0:00:05.426721
1180	3	3	1.6	0.999	1	0:00:05.420909
1200	8	8	0.504	0.843	1	0:00:05.434344
1220	9	6	0.461	0.822	0	0:00:05.433533
1240	2	3	0.228	0.676	0	0:00:05.421806
1260	1	9	1.08	0.984	0	0:00:05.429611
1280	3	5	0.222	0.671	0	0:00:05.997363
1300	4	0	1.14	0.989	0	0:00:05.859930
1320	7	2	0.694	0.918	0	0:00:05.672721
1340	1	1	1.6	0.999	1	0:00:05.652020
1360	7	7	1.34	0.996	1	0:00:05.673956
1380	4	-1	-0.1	0.42	0	0:00:05.656898
1400	5	3	0.488	0.835	0	0:00:05.620624
1420	4	4	0.0567	0.545	1	0:00:05.618639
1440	0	8	0.661	0.907	0	0:00:05.610292
1460	6	6	0.923	0.968	1	0:00:05.456223
1480	1	1	0.339	0.751	1	0:00:05.790699
1500	1	1	1.6	0.999	1	0:00:05.695001
1520	7	7	0.809	0.947	1	0:00:05.591332
1540	8	8	1.6	0.999	1	0:00:05.591325
1560	7	7	1.6	0.999	1	0:00:05.590641
1580	6	3	0.724	0.926	0	0:00:05.586831
1600	8	-1	-0.11	0.413	0	0:00:05.541882
1620	5	5	0.0376	0.53	1	0:00:05.434777
1640	7	3	0.86	0.957	0	0:00:05.337694
1660	3	5	0.215	0.667	0	0:00:05.333344
1680	6	6	0.558	0.868	1	0:00:05.335641
1700	5	2	0.359	0.763	0	0:00:05.336600
1720	4	-1	-0.204	0.342	0	0:00:05.876103
1740	1	1	0.758	0.935	1	0:00:05.773062
