idx	label	predict	radius	pABar	correct	time
0	3	3	0.723	0.926	1	0:00:06.512376
20	7	7	0.845	0.954	1	0:00:04.818082
40	4	4	0.111	0.588	1	0:00:04.802280
60	7	7	0.621	0.893	1	0:00:04.817183
80	8	8	0.96	0.973	1	0:00:04.848315
100	4	-1	-0.0338	0.473	0	0:00:04.849521
120	8	8	0.163	0.628	1	0:00:04.863107
140	6	3	0.0712	0.557	0	0:00:04.856330
160	2	2	1.3	0.995	1	0:00:04.852183
180	0	0	1.35	0.996	1	0:00:04.866944
200	5	5	0.231	0.678	1	0:00:04.887955
220	7	7	1.37	0.997	1	0:00:04.908498
240	1	1	1.23	0.993	1	0:00:04.946589
260	8	8	0.24	0.685	1	0:00:04.946326
280	9	9	0.381	0.777	1	0:00:04.946775
300	6	6	0.684	0.914	1	0:00:04.963049
320	3	5	1.18	0.991	0	0:00:04.959184
340	2	4	0.0305	0.524	0	0:00:04.978157
360	9	5	0.356	0.762	0	0:00:04.994803
380	6	8	0.00903	0.507	0	0:00:04.992860
400	9	9	1.19	0.991	1	0:00:05.010426
420	4	4	1.53	0.999	1	0:00:05.009113
440	1	1	0.838	0.953	1	0:00:05.012416
460	5	5	0.943	0.97	1	0:00:05.028584
480	8	-1	-0.0959	0.424	0	0:00:05.021319
500	4	-1	-0.115	0.409	0	0:00:05.116047
520	5	5	0.778	0.94	1	0:00:05.190481
540	1	8	0.13	0.603	0	0:00:05.060210
560	0	0	1.6	0.999	1	0:00:05.019114
580	4	4	1.2	0.992	1	0:00:05.029257
600	8	8	1.53	0.999	1	0:00:05.008709
620	7	-1	-0.13	0.397	0	0:00:04.980429
640	5	3	0.863	0.958	0	0:00:04.982237
660	9	9	1.14	0.988	1	0:00:04.978145
680	9	-1	-0.00251	0.498	0	0:00:04.981761
700	7	7	0.443	0.812	1	0:00:04.974522
720	4	4	0.719	0.925	1	0:00:04.977684
740	2	3	0.0464	0.537	0	0:00:04.978000
760	3	3	0.61	0.889	1	0:00:04.997745
780	9	9	0.877	0.96	1	0:00:04.987555
800	7	7	1.56	0.999	1	0:00:04.994398
820	6	3	0.326	0.743	0	0:00:04.982766
840	7	7	1.53	0.999	1	0:00:04.978278
860	4	4	1.04	0.982	1	0:00:04.985888
880	8	8	1.37	0.997	1	0:00:04.977551
900	2	-1	-0.0587	0.453	0	0:00:04.986239
920	6	-1	-0.0426	0.466	0	0:00:04.986730
940	9	9	0.849	0.955	1	0:00:04.989166
960	9	9	1.19	0.992	1	0:00:04.986027
980	2	2	0.206	0.66	1	0:00:04.986069
1000	5	5	1.3	0.995	1	0:00:04.987294
1020	1	1	0.892	0.963	1	0:00:04.955573
1040	7	5	0.455	0.819	0	0:00:04.961449
1060	9	9	1.09	0.985	1	0:00:05.203527
1080	6	6	0.486	0.834	1	0:00:04.971108
1100	7	0	0.154	0.621	0	0:00:05.017138
1120	5	2	0.0519	0.541	0	0:00:04.991943
1140	6	4	0.0323	0.526	0	0:00:05.188003
1160	8	0	0.353	0.76	0	0:00:05.161327
1180	3	3	0.143	0.613	1	0:00:05.062821
1200	8	8	0.198	0.654	1	0:00:05.178820
1220	9	3	0.575	0.875	0	0:00:05.122975
1240	2	2	0.173	0.635	1	0:00:05.172212
1260	1	1	0.376	0.774	1	0:00:05.121380
1280	3	3	0.17	0.633	1	0:00:05.064842
1300	4	4	0.666	0.909	1	0:00:05.066116
1320	7	0	0.312	0.734	0	0:00:05.063761
1340	1	1	1.6	0.999	1	0:00:05.064035
1360	7	5	0.0305	0.524	0	0:00:05.067868
1380	4	5	1.47	0.998	0	0:00:05.275722
1400	5	3	0.135	0.606	0	0:00:05.158580
1420	4	4	0.413	0.796	1	0:00:05.208942
1440	0	8	0.165	0.63	0	0:00:05.027623
1460	6	5	0.217	0.668	0	0:00:05.119202
1480	1	5	0.0194	0.516	0	0:00:05.352010
1500	1	1	0.317	0.737	1	0:00:05.230896
1520	7	4	0.532	0.856	0	0:00:05.242136
1540	8	8	1.6	0.999	1	0:00:05.277637
1560	7	7	1.6	0.999	1	0:00:05.209079
1580	6	3	0.518	0.85	0	0:00:05.281808
1600	8	-1	-0.0832	0.434	0	0:00:05.200927
1620	5	8	0.472	0.827	0	0:00:05.221003
1640	7	3	0.778	0.94	0	0:00:05.140679
1660	3	3	0.767	0.938	1	0:00:05.207219
1680	6	6	0.0791	0.563	1	0:00:05.076072
1700	5	5	0.388	0.781	1	0:00:05.148631
1720	4	4	0.0423	0.534	1	0:00:05.367407
1740	1	1	0.846	0.955	1	0:00:05.267359
1760	0	8	0.286	0.716	0	0:00:05.265315
1780	7	7	0.833	0.952	1	0:00:05.263838
1800	4	0	0.292	0.721	0	0:00:05.265501
1820	8	-1	-0.0959	0.424	0	0:00:05.269800
1840	8	-1	-0.0538	0.457	0	0:00:05.263699
